id,title,overview,tagline,genres,keywords,director,writers,cast
548928,The Marine 6: Close Quarters,"Jake Carter and another former Marine, Luke Trapper,  join forces to rescue a young kidnapped girl from a gang of international criminals.",No one promised them a fair fight.,['Action'],"['rescue', 'kidnapping', 'gang', 'criminal']",James Nunn,['Craig Walendziak'],"['Mike Mizanin', 'Michael Hickenbottom', 'Rebecca Quin', 'Louisa Connolly-Burnham', 'Tim Woodward', 'Michael Higgs', 'Alec Newman', 'Terence Maynard', 'Martyn Ford', 'Anna Demetriou']"
418235,Lipstick Under My Burkha,"Four ordinary women, inflicted by silly societal norms, have to steal, lie, cheat and hide in order to lead the lives that they rightfully deserve.",It takes balls to be a woman.,"['Comedy', 'Drama']","['small town', 'muslim', 'sexuality', 'islam', 'patriarchy', 'social satire', 'rural area', 'india', 'masturbation']",Alankrita Shrivastava,"['Suhani Kanwar', 'Alankrita Shrivastava']","['Aahana Kumra', 'Ratna Pathak Shah', 'Plabita Borthakur', 'Konkona Sen Sharma', 'Shashank Arora', 'Vikrant Massey', 'Sushant Singh', 'Sonal Jha', 'Mayur More', 'Akash Sisodia']"
252178,'71,A young British soldier must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.,,"['Thriller', 'Action', 'Drama', 'War']","['1970s', 'riot', 'northern ireland', 'survival', 'soldier', 'ira (irish republican army)', 'explosion', 'combat', 'belfast, north ireland', 'abandoned']",Yann Demange,['Gregory Burke'],"[""Jack O'Connell"", 'Sean Harris', 'Paul Anderson', 'Sam Reid', 'Sam Hazeldine', 'Barry Keoghan', 'Charlie Murphy', 'Richard Dormer', 'Killian Scott', 'Babou Ceesay']"
103243,Vicky Donor,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",,"['Comedy', 'Romance']",['sperm donor'],Shoojit Sircar,['Juhi Chaturvedi'],"['Ayushmann Khurrana', 'Yami Gautam Dhar', 'Annu Kapoor', 'Dolly Ahluwalia', 'Kamlesh Gill', 'Puja Gupta', 'Inderpal Singh', 'John Abraham', 'Swaroopa Ghosh', 'Krishna Singh Bisht']"
51362,The Play House,"Upon waking from the dream of a theater peopled entirely by numerous Buster Keatons, a lowly stage hand causes havoc everywhere he works.",He apes the ape as no one else can ape him,"['Comedy', 'Fantasy']","['backstage', 'silent film', 'short film']",Edward F. Cline,"['Edward F. Cline', 'Buster Keaton']","['Buster Keaton', 'Edward F. Cline', 'Virginia Fox', 'Joe Murphy', 'Joe Roberts', 'Sybil Seely']"
37735,Easy A,"Olive, an average high school student, sees her below-the-radar existence turn around overnight once she decides to use the school's gossip grapevine to advance her social standing. Now her classmates are turning against her and the school board is becoming concerned, including her favorite teacher and the distracted guidance counselor. With the support of her hilariously idiosyncratic parents and a little help from a long-time crush, Olive attempts to take on her notorious new identity and crush the rumor mill once and for all.",Let's not and say we did.,['Comedy'],"['high school', 'small town', 'lie', 'loss of virginity', 'coming of age', 'teen movie', 'school', 'female protagonist', 'high school student', 'teen comedy', 'intelligent', 'duringcreditsstinger', 'small town girl', 'rumor', 'teen drama', 'pretend relationship', 'gay friend', 'teenager']",Will Gluck,['Bert V. Royal'],"['Emma Stone', 'Penn Badgley', 'Amanda Bynes', 'Dan Byrd', 'Thomas Haden Church', 'Patricia Clarkson', 'Cam Gigandet', 'Lisa Kudrow', 'Malcolm McDowell', 'Aly Michalka']"
28430,The Day the Earth Caught Fire,"British reporters suspect an international cover-up of a global disaster in progress... and they're right. Hysterical panic has engulfed the world after the United States and the Soviet Union simultaneously detonate nuclear devices and have caused the orbit of the Earth to alter, sending it hurtling towards the sun.",The INCREDIBLE becomes Real! The IMPOSSIBLE becomes Fact! The UNBELIEVABLE becomes True!,"['Science Fiction', 'Drama']","['newspaper', 'london, england', 'sun', 'heat', 'earth', 'global warming', 'end of the world', 'disaster', 'black and white', 'disaster movie', 'dyaliscope']",Val Guest,"['Val Guest', 'Wolf Mankowitz']","['Janet Munro', 'Leo McKern', 'Edward Judd', 'Michael Goodliffe', 'Bernard Braden', 'Reginald Beckwith', 'Gene Anderson', 'Renée Asherson', 'Arthur Christiansen', 'Austin Trevor']"
20504,The Book of Eli,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",Some will kill to have it. He will kill to protect it.,"['Action', 'Thriller', 'Science Fiction']","['faith', 'chaos', 'dystopia', 'post-apocalyptic future', 'bible', 'survival', 'gunfight', 'blind', 'brutality', 'cannibal', 'combat', '2040s', 'carnage', 'grimdark']",Allen Hughes,['Gary Whitta'],"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals', 'Michael Gambon', 'Tom Waits', 'Frances de la Tour', 'Evan Jones', 'Joe Pingue']"
17612,Lost and Delirious,"After starting at an upmarket boarding school, a teenage girl forms close friendships with her two older roommates. However, when she discovers that her new friends are lovers she finds herself caught in a complicated situation.",Friends. Roommates. Lovers.,"['Drama', 'Romance']","['based on novel or book', 'identity', 'roommates', 'love', 'school', 'discovery', 'woman director', 'lesbian']",Léa Pool,['Judith Thompson'],"['Mischa Barton', 'Piper Perabo', 'Jessica Paré', 'Mimi Kuzyk', 'Emily VanCamp', 'Amy Stewart', 'Caroline Dhavernas', 'Jackie Burroughs', 'Grace Lynn Kung', 'Lydia Zadel']"
9387,Conan the Barbarian,"A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",Thief. Warrior. Gladiator. King.,"['Adventure', 'Fantasy', 'Action']","['based on novel or book', 'gladiator', 'fight', 'magic', 'repayment', 'mythology', 'despot', 'black magic', 'warlord', 'stone age', 'thief', 'barbarian', 'wizard', 'warrior', 'serpent', 'action hero', 'sword and sorcery', 'mysticism', 'good versus evil', 'irreverent', 'grand', 'admiring']",John Milius,"['Edward Summer', 'John Milius', 'Oliver Stone']","['Arnold Schwarzenegger', 'James Earl Jones', 'Max von Sydow', 'Sandahl Bergman', 'Ben Davidson', 'Cassandra Gava', 'Gerry Lopez', 'Mako', 'Valérie Quennessen', 'William Smith']"
